"name"," Найменування"," Статус"," Введено знову"," Раніше опублікований у"," Альтернативні найменування"," Ключові слова"," Застосовність"," Коментарі щодо застосування"," Клас форми"," Клас функцій"," Клас застосування"," Примітки"," Форма"," Альтернативні форми"," Складові частини"," Замінює"," Застарілий з"," Замінений на"," Обмеження символу"," img"
" S00001"," з'єднання, загальний символ"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-01"," провідник, кабель, лінія, канал передачі, лінія зв'язку"," кабелі, провідники, з'єднання, лінії,","телекомунікації, канали передачі S00004, S00005, S00050, S00051, S00054, S00052, S00423, S00410, S00408, S00409, S00407, S00411, S0041 S00414, S00413, S00417, S00418, S00425, S00437, S00439, S00447, S00444, S00445, S00446, S00449, S00448, S01149 S01448, S01449, S01807, S01185, S01082, S01084, S00531, S01148, S01143, S01086, S01142, S01149, S01318, S01141 S01138, S01145, S01083, S01140, S01377, S01378, S01150, S00826, S00592, S01080, S01336, S01831"," А00193, А00194"," лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми"," див. також Символ S00058",,,,,,,," symb/image-20241221113609209.png"
" S00002","група з'єднань (кількість з'єднань вказано)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-02",," провідники, з'єднання"," S00025, S00449, S00874, S00880, S01087, S00888, S00886, S00854, S00872, S00890, S00856, S00884, S00860, S01088 S00866, S00858, S00852, S00882, S00862, S00864, S01088, S01089, S00876, S01091, S01837"," А00192, А00193, А00194"," лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми"," показано три з'єднання"," форма 1"," S00003"," S00058",,,,," symb/image-20241221113715220.png"
" S00003","група з'єднань (кількість з'єднань вказано)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-03",," провідники, з'єднання"," S00027, S00024, S00055, S00053, S00294, S00295, S01277, S00888, S01323, S00890, S01285, S01324, S01092"," А00192, А00193, А00194"," символи, лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми"," показано три з'єднання"," Форма 2"," S00002"," S00058",,,,," symb/image-20241221113729400.png"
" S00004"," ланцюг постійного струму"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-04",," провідники, з'єднання",," А00193, А00194"," символи, лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань","110 В, два алюмінієві провідники перерізом 120 мм2",,," S00001; S01401",,,,," symb/image-20241221113739905.png"
" S00005"," трифазний ланцюг"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-05",," провідники, з'єднання"," S00314"," А00193, А00194"," символи, лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми"," 50 Гц, 400 В, три провідники перерізом 120 мм2, з нейтральним перетином 50 мм2. 3N можна замінити на 3+N",,," S00001; S01403",,,,," symb/image-20241221113750311.png"
" S00006"," гнучке з'єднання"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-06",," провідники, з'єднання"," S01147",," фігури"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми",,,,,,,,," symb/image-20241221113801418.png"
" S00007"," екранований провід"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-07",," провідники, з'єднання"," S00013, S00791, S00783"," А00001"," кола, лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми",,,,,,,,," symb/image-20241221113811022.png"
" S00008","скручене з'єднання"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-08",," провідники, з'єднання",," А00001"," лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми"," показано дві сполуки.",,,,,,,," symb/image-20241221113823278.png"
" S00009"," провідники у кабелі"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-09",," провідники, з'єднання"," S00010, S01324"," А00001"," овали"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," показано три з'єднання",," S00010",,,,,," symb/image-20241221113837192.png"
" S00010"," провідники у кабелі"," стандарт"," 01.07.2001"," МЕК60617-3 (ред. 2.0) 03-01 -10",," провідники, з'єднання",," А00001"," стрілки, лінії, овали"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми"," п'ять провідників, з яких два відзначені стрілками, укладено в один кабель",,," S00009",,,,," symb/image-20241221113909541.png"
" S00011"," коаксіальна пара"," стандарт"," 01.07.2001"," МЕК60617-3 (ред. 2.0) 03-01 -11",," провідники, з'єднання"," S00013, S00012, S00042, S00591, S00606, S01119, S00610"," А00011"," кола, лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми",,,,,,,,," symb/image-20241221113921166.png"
"S00012"," коаксіальна пара, з'єднана з клемами"," стандарт"," 01.07.2001"," МЕК60617-3 (ред. 2.0) 03-01 -12",," провідники, з'єднання, клеми",," А00011"," кола, лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00011; S00017",,,,," symb/image-20241221113933864.png"
" S00013"," коаксіальна пара з екраном"," стандарт"," 01.07.2001"," МЕК60617-3 (ред. 2.0) 03-01 -13",," провідники, з'єднання",,," кола"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00007; S00011",,,,," symb/image-20241221113944525.png"
" S00014"," кінець провідника або кабелю, вільний"," стандарт"," 01.07.2001"," МЕК60617-3 (ред. 2.0) 03-01 -14",," провідники, з'єднання",,," півкола, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221113954505.png"
" S00015"," вільний кінець провідника або кабелю, із спеціальною ізоляцією"," стандарт"," 01.07.2001","MЕК 60617-3 (ред. 2.0) 03-01 -15",," кабелі, провідники, з'єднання",,," півкола, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221114004230.png"
" S00016"," точка приєднання"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-01"," вузол"," розгалуження, з'єднання, вузли"," S00020, S00022, S00455, S00454, S01790, S01785, S01797, S01798, S00952, S01325, S00664, S01833, S01834",," кола, точки"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,," S01350",,,," symb/image-20241221114014893.png"
" S00017"," клема"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-02",," клеми"," S00012, S00039, S00044, S00046, S00268, S00267, S00269, S01200, S00880, S00955, S00957, S01201, S00881, S01133 S01840, S01841, S01842",," кола"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми",,,,,,,,," symb/image-20241221114026611.png"
" S00018"," клемна колодка"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-03",," клеми",," А00002"," прямокутники"," X підключення","принципові схеми",,,,,,,,," symb/image-20241221114034891.png"
" S00019"," Т-подібне з'єднання"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-04",," розгалуження, з'єднання, вузли"," S00021, S00029, S00030, S00055, S00054, S00502",," лінії"," W спрямоване переміщення або транспортування, X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми",," форма 1"," S00020",,,,,," symb/image-20241221114046654.png"
" S00020"," Т-подібне з'єднання"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-05",," розгалуження, з'єднання, вузли",,," кола, точки"," W спрямоване переміщення або транспортування, X підключення"," принципові схеми, функціональні схеми, загальні схеми"," відображено із Символом вузла"," Форма 2"," S00019"," S00016",,,,," symb/image-20241221114057058.png"
" S00021"," подвійне відгалуження провідників"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-06",," розгалуження, з'єднання, вузли",,," лінії"," W спрямоване переміщення або транспортування, X підключення"," принципові схеми, функціональні схеми, загальні схеми",," форма 1"," S00022"," S00019",,,,," symb/image-20241221114107693.png"
" S00022"," подвійне відгалуження провідників"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-07",," розгалуження, з'єднання, вузли"," S00503",," кола, точки, лінії"," W спрямоване переміщення або транспортування, X підключення"," принципові схеми, функціональні схеми, загальні схеми",," Форма 2"," S00021"," S00016",,,,," symb/image-20241221114117461.png"
